Date,Year,Month,Month name,Mode,Users
2018-01-01,2018,1,January,Bus,8289776
2018-01-01,2018,1,January,Coach,116568
2018-01-01,2018,1,January,Train,18276188
2018-01-01,2018,1,January,Tram,15231368
2018-02-01,2018,2,February,Bus,11605805
2018-02-01,2018,2,February,Coach,103197
2018-02-01,2018,2,February,Train,21077458
2018-02-01,2018,2,February,Tram,16980925
2018-03-01,2018,3,March,Bus,12753711
2018-03-01,2018,3,March,Coach,117180
2018-03-01,2018,3,March,Train,24468784
2018-03-01,2018,3,March,Tram,19832126
2018-04-01,2018,4,April,Bus,10538968
2018-04-01,2018,4,April,Coach,107480
2018-04-01,2018,4,April,Train,21996867
2018-04-01,2018,4,April,Tram,16919872
2018-05-01,2018,5,May,Bus,12522190
2018-05-01,2018,5,May,Coach,109456
2018-05-01,2018,5,May,Train,24559103
2018-05-01,2018,5,May,Tram,17691427
2018-06-01,2018,6,June,Bus,10604765
2018-06-01,2018,6,June,Coach,101215
2018-06-01,2018,6,June,Train,20820391
2018-06-01,2018,6,June,Tram,15836171
2018-07-01,2018,7,July,Bus,10624949
2018-07-01,2018,7,July,Coach,109103
2018-07-01,2018,7,July,Train,22531344
2018-07-01,2018,7,July,Tram,17169239
2018-08-01,2018,8,August,Bus,13018025
2018-08-01,2018,8,August,Coach,110348
2018-08-01,2018,8,August,Train,24412439
2018-08-01,2018,8,August,Tram,18415592
2018-09-01,2018,9,September,Bus,10912354
2018-09-01,2018,9,September,Coach,104525
2018-09-01,2018,9,September,Train,21732977
2018-09-01,2018,9,September,Tram,15892774
2018-10-01,2018,10,October,Bus,12466397
2018-10-01,2018,10,October,Coach,121267
2018-10-01,2018,10,October,Train,24172171
2018-10-01,2018,10,October,Tram,18677490
2018-11-01,2018,11,November,Bus,11550778
2018-11-01,2018,11,November,Coach,111699
2018-11-01,2018,11,November,Train,22561615
2018-11-01,2018,11,November,Tram,17398998
2018-12-01,2018,12,December,Bus,8820189
2018-12-01,2018,12,December,Coach,113023
2018-12-01,2018,12,December,Train,18199764
2018-12-01,2018,12,December,Tram,15404107
2019-01-01,2019,1,January,Bus,8593513
2019-01-01,2019,1,January,Coach,110708
2019-01-01,2019,1,January,Train,18606965
2019-01-01,2019,1,January,Tram,15695535
2019-02-01,2019,2,February,Bus,11307537
2019-02-01,2019,2,February,Coach,103886
2019-02-01,2019,2,February,Train,21688214
2019-02-01,2019,2,February,Tram,16485000
2019-03-01,2019,3,March,Bus,13008499
2019-03-01,2019,3,March,Coach,112302
2019-03-01,2019,3,March,Train,24167426
2019-03-01,2019,3,March,Tram,19456794
2019-04-01,2019,4,April,Bus,10628905
2019-04-01,2019,4,April,Coach,111012
2019-04-01,2019,4,April,Train,20302570
2019-04-01,2019,4,April,Tram,17400302
2019-05-01,2019,5,May,Bus,13369321
2019-05-01,2019,5,May,Coach,111604
2019-05-01,2019,5,May,Train,25052602
2019-05-01,2019,5,May,Tram,18410816
2019-06-01,2019,6,June,Bus,10600308
2019-06-01,2019,6,June,Coach,98137
2019-06-01,2019,6,June,Train,20803844
2019-06-01,2019,6,June,Tram,15041547
2019-07-01,2019,7,July,Bus,11500583
2019-07-01,2019,7,July,Coach,108706
2019-07-01,2019,7,July,Train,22670048
2019-07-01,2019,7,July,Tram,16784796
2019-08-01,2019,8,August,Bus,12760504
2019-08-01,2019,8,August,Coach,107987
2019-08-01,2019,8,August,Train,24599157
2019-08-01,2019,8,August,Tram,17578879
2019-09-01,2019,9,September,Bus,11328782
2019-09-01,2019,9,September,Coach,104419
2019-09-01,2019,9,September,Train,22398459
